lat,long,signal
37.416497,-110.359509,-113
37.416418,-110.359778,-113
37.416353,-110.360049,-113
37.416297,-110.360323,-113
37.416244,-110.360595,-113
37.416185,-110.360862,-113
37.416185,-110.360862,-113
37.578539,-110.71432,-113
37.578264,-110.714169,-113
37.577995,-110.714011,-113
38.823389,-111.147963,-113
38.823202,-111.148297,-113
38.823015,-111.148632,-113
38.822828,-111.148968,-113
38.822642,-111.149306,-113
38.822455,-111.149644,-113
38.822268,-111.149984,-113
38.822082,-111.150323,-113
38.821896,-111.150662,-113
38.821709,-111.151002,-113
38.821523,-111.151341,-113
38.821337,-111.15168,-113
38.821153,-111.15202,-113
38.820972,-111.152363,-113
38.820972,-111.152363,-113
38.683132,-111.851104,-113
38.682902,-111.850862,-113
38.682664,-111.850636,-113
37.74468,-111.454734,-113
37.745154,-111.454601,-113
37.745303,-111.454523,-113
37.745452,-111.454438,-113
37.748872,-111.456349,-113
37.748451,-111.491156,-113
37.74836,-111.491501,-113
37.748264,-111.491845,-113
37.72756,-111.769866,-113
37.727471,-111.770216,-113
37.727384,-111.770565,-113
37.602781,-111.965733,-113
41.776609,-111.186544,-112
41.817058,-113.318964,-112
41.817058,-113.319281,-112
41.817057,-113.3196,-112
41.455739,-113.657755,-112
41.455588,-113.658074,-112
41.455447,-113.658401,-112
41.455314,-113.658735,-112
41.455186,-113.659071,-112
41.455057,-113.659407,-112
41.44062,-113.707016,-112
41.440581,-113.707389,-112
41.440542,-113.707763,-112
40.453432,-110.883298,-112
40.453312,-110.882731,-112
40.453185,-110.880948,-112
38.768576,-109.321304,-112
38.767101,-109.320391,-112
38.766911,-109.320355,-112
38.766719,-109.32033,-112
38.232886,-109.378058,-112
37.282186,-109.688801,-112
37.282928,-109.689846,-112
37.283111,-109.690105,-112
37.283292,-109.690363,-112
37.283472,-109.690623,-112
37.283649,-109.690886,-112
37.283817,-109.691157,-112
37.283974,-109.691438,-112
37.284117,-109.691729,-112
37.284245,-109.692028,-112
37.284362,-109.692336,-112
37.284465,-109.692653,-112
37.284553,-109.69298,-112
37.284623,-109.693316,-112
37.284623,-109.693316,-112
37.300655,-109.454773,-112
37.532425,-109.721889,-112
37.532374,-109.72226,-112
37.532331,-109.722628,-112
37.550781,-109.991573,-112
37.550983,-109.991874,-112
37.551185,-109.992175,-112
37.418057,-110.356719,-112
